,degree
1406,4
1407,10
1408,9
1409,5
1410,31
1411,15
1412,19
1413,17
1414,19
1415,26
1416,2
1417,10
1418,22
1419,1
1420,5
1421,10
1422,15
1423,14
1424,18
1425,21
1426,23
1427,14
1428,14
1429,10
1430,58
1431,13
1432,26
1433,11
1434,9
1435,8
1436,14
1437,27
1438,26
1439,16
1440,23
1441,21
1442,20
1443,9
1444,3
1445,16
1446,13
1447,6
1448,23
1449,9
1450,38
1451,8
1452,4
1453,19
1454,10
1455,12
1456,10
1457,10
1458,3
1459,33
1460,10
1461,10
1462,5
1463,9
1464,9
1465,7
1466,5
1467,9
1468,7
1469,3
1470,4
1471,8
1472,9
1473,16
1474,15
1475,11
1476,11
1477,20
1478,24
1479,17
1480,13
1481,2
1482,11
1483,6
1484,10
1485,5
1486,7
1487,3
1488,16
1489,16
1490,9
1491,16
1492,27
1493,5
1494,5
1495,9
1496,8
1497,23
1498,6
1499,21
1500,17
1501,9
1502,4
1503,10
1504,20
1505,25
1506,30
1507,16
1508,3
1509,7
1510,15
1511,12
1512,7
1513,10
1514,6
1515,11
1516,16
1517,28
1518,20
1519,9
1520,3
1521,30
1522,13
1523,37
1524,65
1525,28
1526,16
1527,17
1528,37
1529,47
1530,3
1531,6
1532,13
1533,18
1534,19
1535,39
1536,27
1537,17
1538,12
1539,10
1540,6
1541,13
1542,30
1543,25
1544,12
1545,25
1546,9
1547,3
1548,12
1549,5
1550,24
1551,9
1552,5
1553,3
1554,12
1555,53
1556,11
1557,25
1558,12
1559,5
1560,4
1561,14
1562,6
1563,33
1564,12
1565,29
1566,11
1567,15
1568,18
1569,16
1570,22
1571,19
1572,11
1573,15
1574,4
1575,19
1576,14
1577,21
1578,6
1579,15
1580,18
1581,15
1582,17
1583,6
1584,9
1585,11
1586,9
1587,22
1588,9
1589,25
1590,34
1591,15
1592,12
1593,2
1594,9
1595,25
1596,79
1597,17
1598,14
1599,17
1600,19
1601,16
1602,5
1603,22
1604,1
1605,12
1606,14
1607,15
1608,13
1609,24
1610,17
1611,14
1612,5
1613,14
1614,2
1615,15
1616,22
1617,14
1618,24
1619,20
1620,4
1621,16
1622,18
1623,17
1624,8
1625,10
1626,22
1627,11
1628,7
1629,8
1630,14
1631,12
1632,10
1633,12
1634,9
1635,6
1636,24
1637,16
1638,10
1639,8
1640,17
1641,8
1642,11
1643,6
1644,16
1645,21
1646,13
1647,4
1648,31
1649,17
1650,8
1651,5
1652,5
1653,7
1654,17
1655,9
1656,20
1657,10
1658,8
1659,21
1660,15
1661,10
1662,6
1663,13
1664,15
1665,24
1666,21
1667,3
1668,18
1669,3
1670,39
1671,7
1672,46
1673,17
1674,25
1675,40
1676,27
1677,13
1678,79
1679,22
1680,23
1681,6
1682,32
1683,11
1684,29
1685,27
1686,25
1687,21
1688,40
1689,10
1690,8
1691,17
1692,6
1693,15
1694,15
1695,8
1696,9
1697,6
1698,10
1699,24
1700,16
1701,17
1702,15
1703,6
1704,11
1705,21
1706,26
1707,7
1708,5
1709,19
1710,8
1711,6
1712,11
1713,21
1714,15
1715,13
1716,23
1717,27
1718,14
1719,17
1720,15
1721,18
1722,6
1723,12
1724,17
1725,10
1726,21
1727,29
1728,4
1729,19
1730,9
1731,11
1732,19
1733,14
1734,21
1735,13
1736,7
1737,15
1738,14
1739,11
1740,8
1741,7
1742,22
1743,8
1744,10
1745,14
1746,25
1747,34
1748,13
1749,39
1750,13
1751,4
1752,11
1753,21
1754,7
1755,16
1756,5
1757,6
1758,15
1759,24
1760,10
1761,2
1762,3
1763,14
1764,14
1765,12
1766,6
1767,9
1768,28
1769,8
1770,14
1771,2
1772,13
1773,6
1774,9
1775,19
1776,7
1777,5
1778,8
1779,4
1780,14
1781,11
1782,22
1783,49
1784,48
1785,22
1786,5
1787,8
1788,10
1789,35
1790,13
1791,4
1792,4
1793,3
1794,9
1795,7
1796,18
1797,2
1798,10
1799,4
1800,7
1801,26
1802,8
1803,45
1804,4
1805,2
1806,5
1807,9
1808,6
1809,10
1810,11
1811,18
1812,30
1813,6
1814,6
1815,13
1816,2
1817,9
1818,13
1819,3
1820,2
1821,6
1822,7
1823,18
1824,4
1825,4
1826,13
1827,7
1828,4
1829,26
1830,18
1831,1
1832,4
1833,12
1834,15
1835,29
1836,11
1837,23
1838,20
1839,6
1840,13
1841,32
1842,18
1843,6
1844,21
1845,11
1846,20
1847,10
1848,21
1849,14
1850,10
1851,15
1852,15
1853,14
1854,5
1855,32
1856,5
1857,8
1858,8
1859,11
1860,9
1861,11
1862,14
1863,11
1864,8
1865,15
1866,38
1867,10
1868,15
1869,5
1870,13
1871,10
1872,13
1873,15
1874,13
1875,23
1876,6
1877,12
1878,22
1879,18
1880,15
1881,19
1882,8
1883,6
1884,8
1885,12
1886,5
1887,13
1888,19
1889,22
1890,1
1891,21
1892,6
1893,5
1894,5
1895,7
1896,9
1897,57
1898,6
1899,7
1900,12
1901,5
1902,7
1903,8
1904,7
1905,13
1906,17
1907,7
1908,32
1909,12
1910,10
1911,3
1912,10
1913,6
1914,10
1915,4
1916,19
1917,15
1918,3
1919,5
1920,7
1921,8
1922,7
1923,3
1924,19
1925,5
1926,9
1927,4
1928,8
1929,4
1930,11
1931,14
1932,29
1933,24
1934,15
1935,4
1936,10
1937,12
1938,33
1939,25
1940,6
1941,18
1942,6
1943,9
1944,5
1945,13
1946,1
1947,5
1948,1
1949,4
1950,18
1951,10
1952,8
1953,7
1954,4
1955,25
1956,21
1957,22
1958,5
1959,11
1960,10
1961,4
1962,6
1963,28
1964,18
1965,23
1966,13
1967,16
1968,1
1969,2
1970,13
1971,70
1972,8
1973,12
1974,20
1975,6
1976,17
1977,18
1978,21
1979,17
1980,11
1981,34
1982,15
1983,13
1984,23
1985,17
1986,14
1987,11
1988,19
1989,29
1990,16
1991,4
1992,10
1993,24
1994,11
1995,52
1996,9
1997,4
1998,13
1999,6
2000,14
2001,10
2002,16
2003,16
2004,10
2005,11
2006,89
2007,8
2008,2
2009,17
2010,20
2011,11
2012,3
2013,4
2014,2
2015,13
2016,7
2017,1
2018,2
2019,19
2020,3
2021,2
2022,19
2023,11
2024,148
2025,2
2026,1
2027,4
2028,1
2029,1
2030,1
2031,1
2032,1
2033,4
2034,3
2035,2
2036,3
2037,4
2038,3
2039,5
2040,5
2041,5
2042,1
2043,1
2044,2
2045,4
2046,1
2047,1
2048,2
2049,4
2050,9
2051,5
2052,8
2053,27
2054,12
2055,20
2056,26
2057,11
